i,precision,recall,fmeasure,geometric,arithmetic
500,18.55,73.6,29.63,36.9496955332517,46.075
5500,48.93,73.05,58.61,59.7857549923056,60.99
10500,58.92,72.54,65.03,65.3762709245488,65.73
15500,65.03,69.35,67.12,67.155271572677,67.19
20500,68.51,65.01,66.71,66.7370594197857,66.76
25500,70.94,63.6,67.07,67.1698146491413,67.27
30500,75.12,61.3,67.51,67.8590892953921,68.21
35500,77.89,58.49,66.81,67.4965636162316,68.19
40500,78.91,55.43,65.12,66.1360816801237,67.17
45500,78.51,49.94,61.05,62.6162071671544,64.225
50500,80.54,49.17,61.06,62.929737008826,64.855
55500,70.49,54.92,61.74,62.2198585662166,62.705
