page number, number of genre, number of species, number of binoms
529, 0, 0, 1
615, 0, 0, 0
485, 0, 0, 0
475, 0, 0, 0
517, 0, 1, 0
334, 0, 0, 0
489, 0, 0, 0
459, 0, 6, 4
523, 0, 0, 0
075, 0, 0, 0
432, 0, 0, 0
097, 0, 1, 0
265, 0, 0, 1
602, 0, 0, 0
099, 0, 1, 1
188, 0, 0, 2
626, 0, 0, 0
498, 0, 0, 0
657, 2, 0, 0
516, 2, 0, 1
599, 0, 3, 0
171, 0, 1, 0
610, 0, 0, 1
222, 0, 0, 0
125, 0, 0, 0
258, 0, 0, 0
356, 0, 0, 0
271, 0, 0, 0
353, 0, 0, 0
631, 0, 0, 0
451, 0, 0, 0
490, 0, 1, 0
016, 1, 0, 1
542, 0, 0, 0
564, 0, 0, 0
445, 0, 0, 0
561, 0, 0, 0
374, 0, 0, 2
062, 0, 0, 0
505, 0, 0, 0
306, 0, 0, 0
398, 2, 0, 0
159, 1, 0, 0
336, 0, 0, 0
369, 0, 0, 0
047, 1, 0, 0
189, 0, 0, 0
061, 0, 0, 1
556, 0, 0, 0
109, 0, 1, 0
604, 2, 0, 0
441, 0, 0, 0
577, 0, 1, 0
191, 0, 2, 0
317, 0, 0, 0
365, 0, 0, 0
383, 0, 0, 0
023, 0, 0, 0
039, 0, 0, 0
177, 0, 0, 0
497, 0, 0, 0
018, 2, 1, 0
590, 0, 0, 0
461, 0, 0, 0
553, 0, 0, 1
466, 0, 0, 0
011, 1, 0, 0
502, 1, 0, 0
400, 0, 0, 0
435, 0, 0, 0
055, 1, 0, 2
576, 0, 0, 0
416, 0, 0, 0
549, 0, 0, 0
225, 0, 0, 0
659, 0, 0, 0
442, 0, 0, 0
343, 1, 1, 5
063, 0, 0, 0
101, 0, 0, 2
161, 0, 0, 0
375, 0, 0, 0
499, 1, 0, 0
649, 0, 0, 0
548, 1, 0, 0
053, 0, 0, 0
389, 1, 0, 0
559, 1, 0, 2
371, 0, 1, 2
209, 0, 0, 0
358, 0, 1, 0
655, 0, 0, 0
129, 0, 2, 0
283, 0, 0, 0
042, 0, 0, 0
642, 0, 0, 0
008, 0, 0, 0
104, 0, 0, 0
387, 0, 0, 0
114, 0, 0, 0
068, 0, 0, 4
007, 0, 1, 0
539, 0, 0, 0
362, 0, 0, 0
493, 0, 0, 0
276, 0, 0, 0
036, 1, 2, 6
405, 0, 0, 0
305, 0, 0, 0
407, 0, 0, 0
355, 0, 0, 0
252, 0, 0, 0
513, 0, 0, 0
444, 0, 0, 0
411, 0, 0, 0
166, 0, 0, 0
310, 0, 0, 0
181, 0, 0, 1
583, 0, 0, 0
641, 0, 1, 0
037, 0, 0, 0
331, 0, 0, 0
241, 0, 0, 0
005, 0, 0, 0
072, 0, 0, 0
118, 0, 0, 0
487, 2, 0, 0
312, 0, 1, 0
521, 0, 0, 0
132, 0, 0, 0
437, 0, 0, 0
204, 0, 0, 1
629, 0, 1, 0
292, 0, 0, 0
354, 0, 0, 1
116, 0, 0, 0
136, 0, 0, 0
071, 0, 1, 1
207, 0, 1, 0
208, 0, 0, 0
476, 0, 0, 0
652, 1, 0, 0
239, 0, 0, 0
538, 0, 0, 2
134, 0, 0, 0
363, 0, 0, 0
344, 0, 0, 0
151, 0, 1, 0
127, 0, 0, 0
377, 0, 0, 0
279, 1, 0, 0
301, 0, 0, 0
162, 0, 2, 0
244, 0, 0, 0
519, 0, 0, 1
